x,y,z
-0.015799757902275627,11.561255911110303,-14.806209983605061
0.21236608497016196,11.59703225262568,-14.801077498059133
0.4427411556116557,11.628544262892522,-14.793658393234935
0.675203875388223,11.655705609825164,-14.783943792665626
0.909629515060682,11.678436975975977,-14.771925991599065
1.145890602414291,11.696666278990463,-14.757598506553853
1.3838573477672287,11.710328868507233,-14.74095612987142
1.6233980856933188,11.719367698100733,-14.721994989562333
1.864379731170245,11.723733470968327,-14.700712614745777
2.1066682482405543,11.723384758178208,-14.677108006981188
2.3501291291591277,11.718288088417566,-14.651181717790267
2.594627881890384,11.70841800831427,-14.622935932664763
2.8400305237166377,11.693757112546642,-14.592374561852134
3.0862040786251574,11.674296043106759,-14.559503338205744
3.3330170760548077,11.650033457240324,-14.52432992237942
3.5803400485073174,11.620975963751683,-14.486864015637398
3.828046025459075,11.587138027534706,-14.44711748053983
4.076011020952626,11.54854184236794,-14.405104469750984
4.32411451219949,11.505217172195351,-14.360841563201772
4.57223990648866,11.45720116130236,-14.31434791381999
4.820274993670008,11.404538113986941,-14.265645402020567
5.068112381466669,11.347279244520939,-14.214758799123773
5.315649910869217,11.285482398391606,-14.16171593984173
5.562791048870736,11.219211746011839,-14.106547903942026
5.809445255826983,11.148537450283133,-14.049289207161767
6.055528324753526,11.073535309594098,-13.989978001405788
6.300962689923389,10.99428637802885,-13.928656284218164
6.545677702179245,10.910876564754945,-13.865370117467064
6.789609868449965,10.823396214744868,-13.800169855128129
7.032703053038178,10.731939673170512,-13.733110379991519
7.274908638341769,10.636604835985246,-13.66425134905139
7.516185642775854,10.537492689378517,-13.593657447264139
7.7565007937805195,10.434706840947536,-13.521398649282343
7.995828553924077,10.328353045584526,-13.447550488685236
8.234151098255435,10.218538729215107,-13.372194334132683
8.471458241204367,10.105372513655041,-13.29541767176846
8.707747311490813,9.98896374596591,-13.21731439308885
8.943022973673958,9.86942203579095,-13.137985087375105
9.177296995150249,9.746856804237268,-13.057537337661685
9.410587957597528,9.62137684793814,-12.976086019076726
9.642920912060077,9.493089921976892,-12.89375359824695
9.880859620854853,9.368296112292033,-12.81357728155265
