x,y,z
-16.578235945483204,-10.337168865843786,6.073339933214542
-16.63384400225475,-10.340162018927371,6.169402040185484
-16.689049214159677,-10.34225454626992,6.26697511951655
-16.74377765173636,-10.343415026751156,6.365987672149161
-16.7979573398422,-10.343614019774058,6.466365522207618
-16.8515183519569,-10.342824112570053,6.568031855519593
-16.904392900587794,-10.341019962068497,6.670907266449265
-16.956515423337382,-10.338178331157883,6.7749098126220675
-17.00782266419714,-10.334278119182633,6.879955077097024
-17.058253749637178,-10.329300386536701,6.985956237521546
-17.107750259069967,-10.323228373233164,7.092824141784037
-17.156256289275735,-10.316047511348645,7.200467389662386
-17.203718512389678,-10.307745431260518,7.308792419951325
-17.250086227064134,-10.298311961615571,7.417703602538775
-17.295311402434447,-10.28773912298887,7.527103334890816
-17.339348714533898,-10.276021115212718,7.636892142397327
-17.382155574820775,-10.263154298375861,7.746968782024922
-17.423692150500106,-10.2491371675139,7.857230348721663
-17.46392137634237,-10.233970321031913,7.9675723840183315
-17.502808957722557,-10.21765642292036,8.077888986274438
-17.540323364624335,-10.200200158844032,8.188072922023501
-17.576435816376318,-10.181608186202826,8.298015737881435
-17.61112025690936,-10.161889078280291,8.407607872494248
-17.644353320346678,-10.141053262612692,8.516738768016664
-17.676114286760537,-10.119112953726876,8.62529698063177
-17.70638502795186,-10.096082080409616,8.73317028964328
-17.73514994313073,-10.071976207683988,8.840245804696611
-17.762395884397094,-10.046812453680438,8.94641007071245
-17.78811207194209,-10.02060940160005,9.051549170147085
-17.812289998909815,-9.993387006976906,9.155548822227226
-17.834923325879178,-9.965166500453428,9.258294478843322
-17.856007764943005,-9.935970286288457,9.359671416824632
-17.87554095337937,-9.905821836822312,9.459564826361067
-17.893522316925505,-9.874745583125748,9.557859895381576
-17.909952922680212,-9.8427668020607,9.65444188974601
-17.92483532167388,-9.809911499981002,9.749196229157114
-17.93817338115828,-9.776206293298895,9.8420085587517
-17.949972106679336,-9.741678286140555,9.932764816384534
-17.96023745400675,-9.706354945309197,10.021351295675645
-17.968976131003497,-9.67026397276852,10.107654704950974
-17.976195389526694,-9.633433175852792,10.191562222267677
